sales_id,order_id,order_date,order_date_key,ship_date,ship_mode,customer_id,product_id,country,city,state,region,quantity,sales_amount,gross_sales,discount,discount_pct,profit,year,month
1,CA-2016-152156,2016-11-08 00:00:00.000000,20161108,2016-11-11 00:00:00.000000,Second Class,CG-12520,FUR-BO-10001798,United States,Henderson,Kentucky,South,2,261.96,261.96,0.0,0.0,41.9136,2016,11
2,CA-2016-152156,2016-11-08 00:00:00.000000,20161108,2016-11-11 00:00:00.000000,Second Class,CG-12520,FUR-CH-10000454,United States,Henderson,Kentucky,South,3,731.9399999999999,731.9399999999999,0.0,0.0,219.58199999999997,2016,11
3,CA-2016-138688,2016-06-12 00:00:00.000000,20160612,2016-06-16 00:00:00.000000,Second Class,DV-13045,OFF-LA-10000240,United States,Los Angeles,California,West,2,14.62,14.62,0.0,0.0,6.8713999999999995,2016,6
4,US-2015-108966,2015-10-11 00:00:00.000000,20151011,2015-10-18 00:00:00.000000,Standard Class,SO-20335,FUR-TA-10000577,United States,Fort Lauderdale,Florida,South,5,957.5775,958.0275,0.45,0.00046971511778106577,-383.03100000000006,2015,10
5,US-2015-108966,2015-10-11 00:00:00.000000,20151011,2015-10-18 00:00:00.000000,Standard Class,SO-20335,OFF-ST-10000760,United States,Fort Lauderdale,Florida,South,2,22.368000000000002,22.568,0.2,0.008862105636299184,2.516399999999999,2015,10
6,CA-2014-115812,2014-06-09 00:00:00.000000,20140609,2014-06-14 00:00:00.000000,Standard Class,BH-11710,FUR-FU-10001487,United States,Los Angeles,California,West,7,48.86,48.86,0.0,0.0,14.169399999999996,2014,6
7,CA-2014-115812,2014-06-09 00:00:00.000000,20140609,2014-06-14 00:00:00.000000,Standard Class,BH-11710,OFF-AR-10002833,United States,Los Angeles,California,West,4,7.28,7.28,0.0,0.0,1.9656000000000002,2014,6
8,CA-2014-115812,2014-06-09 00:00:00.000000,20140609,2014-06-14 00:00:00.000000,Standard Class,BH-11710,TEC-PH-10002275,United States,Los Angeles,California,West,6,907.152,907.3520000000001,0.2,0.00022042162247947874,90.71520000000004,2014,6
9,CA-2014-115812,2014-06-09 00:00:00.000000,20140609,2014-06-14 00:00:00.000000,Standard Class,BH-11710,OFF-BI-10003910,United States,Los Angeles,California,West,3,18.504,18.704,0.2,0.0106928999144568,5.7825,2014,6
10,CA-2014-115812,2014-06-09 00:00:00.000000,20140609,2014-06-14 00:00:00.000000,Standard Class,BH-11710,OFF-AP-10002892,United States,Los Angeles,California,West,5,114.9,114.9,0.0,0.0,34.46999999999999,2014,6
11,CA-2014-115812,2014-06-09 00:00:00.000000,20140609,2014-06-14 00:00:00.000000,Standard Class,BH-11710,FUR-TA-10001539,United States,Los Angeles,California,West,9,1706.1840000000002,1706.3840000000002,0.2,0.00011720691239486539,85.3091999999998,2014,6
